BuildingType,Benchmark,Sequestration,Structure,A++,A+,A,B,C,D,E,F,G,Target
Office/Commercial,LETI,FALSE,FALSE,100,225,350,475,600,775,950,1100,1300,350
Office/Commercial,LETI,FALSE,TRUE,150,345,530,750,970,1180,1400,1625,1900,530
Residential,LETI,FALSE,FALSE,100,200,300,400,500,675,850,1000,1200,300
Residential,LETI,TRUE,FALSE,150,300,450,625,800,1000,1200,1400,1600,450
Education,LETI,FALSE,FALSE,100,200,300,400,500,625,750,875,1100,300
Education,LETI,TRUE,FALSE,125,260,400,540,675,835,1000,1175,1350,400
Retail,LETI,FALSE,FALSE,100,200,300,425,550,700,850,1000,1200,300
Retail,LETI,TRUE,FALSE,125,250,380,535,690,870,1050,1250,1450,380
IstructE Structure,SCORS,FALSE,TRUE,50,100,150,200,250,300,350,400,450,137
RIBA Domestic Structure,RIBA,FALSE,TRUE,50,100,150,200,250,300,350,400,450,301
RIBA Commercial Structure,RIBA,FALSE,TRUE,50,100,150,200,250,300,350,400,450,234
RIBA Education Structure,RIBA,FALSE,TRUE,50,100,150,200,250,300,350,400,450,168
IstructE Structure Bridge,SCORBS,FALSE,TRUE,0,25,500,1000,1500,2000,2500,3000,3500,1500
